ID,Title,Brief_Description,Image,Link,Display,Spatial_Channel,Visceral_Channel,Viewer_Locomotion_Mode,Object_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,Motion_Startegies
C12,A Virtual Reality 360 Experience Case From An Experiment,Video of a bar charts representing tea production per country.,C12,"https://drive.google.com/file/d/10Uh-UaGk77gfJarSN0In-FlPuOEtlIoG/view 
",VR displays,Length,Time,Virtual locomotion,Still,None,None,Speed Up,Visual,Physical,None,Animated panning
C13,The Incredible Depth Of Earth Layers,Animated video of a bar representing the depth of the Earth and its layers.,C13,https://www.youtube.com/watch?v=OzuKknkJt-I,2D screens,Length,Time,Stationary,Moving,None,"Milestones, Counter","Speed Up, Jump",Visual,"Data, Physical",Informative,"Mark build-up, Animated panning"
C14,All People On One Page,Scrollable area covered in pictograms representing the current world population.,C14,https://www.worldometers.info/watch/world-population/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,None,None,None,Interactive panning
C15,Death In Syria,Scrollable area covered in dots representing killed people during the syrian civil war.,C15,https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,2D screens,Area,None,Stationary,Moving,Partial-body,None,Speed Up,None,None,Informative,Interactive panning
C16,7 Billion People On 1 Page,"Scrollable unit visualization where each icon represents an individual in the world, colored according to their continent of residence",C16,https://www.7billionworld.com/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,None,None,None,Interactive panning
C17,Du Papier Toilette (Oui Oui...),Urolling a toilet paper roll to compare sizes of different digital media presented by the length of paper sheets ,C17,https://limitesnumeriques.fr/sensibiliser/Animated panning-numerique-responsable/demontage-conference,Physical media,Length,Time,Physical locomotion,Moving,Full-body ,Compressed View,None,None,None,None,"Mark build-up, Walkable marks"
C18,All Of The World?S Money And Markets In One Visualization,Scrollable visualization of squares representing world's money,C18,https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2020/,2D screens,Area,Time,Stationary,Moving,Partial-body,None,Speed Up,None,None,Informative,Interactive panning
C19,If The Moon Were One Pixel,"Planets of the  solar system is laid out left-to-right, using a ?moon = 1 pixel? scale",C19,https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,2D screens,Length,"Effort, Time",Stationary,Moving,Partial-body,"Progress Bar, Counter, Milestones",Speed Up,Verbal,"Data, Physical","Informative, Filler",Interactive panning
C20,O C?culo De Uma Trag?ia (The Calculation Of A Tragedy),COVID-19 deaths in Brazil as dots stacked by day over time,C20,https://www-nexojornal-com-br.translate.goog/especial/2020/08/08/100-mil-mortes-no-Brasil-o-c%C3%A1lculo-de-uma-trag%C3%A9dia?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp&_x_tr_hist=true,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Milestones,Speed Up,"Visual, Verbal",Data,Informative,Interactive panning
C21,What If I Told You: You Eat 3496 Litres Of Water,A long pictogram of 15400 bottles of water that people consume everyday,C21,https://thewaterweeat.com/,2D screens,Area,Time,Stationary,Moving,Partial-body,Milestones,Speed Up,Visual,"Data, Physical",None,Interactive panning
C22,"500,000 Lives Lost","A large scrollable bee-swarm plot, showing COVID-19 deaths over time",C22,https://www.reuters.com/graphics/HEALTH-CORONAVIRUS/USA-CASUALTIES-CHRONOLOGY/xklpyomnrpg/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,"Mini View, Counter, Milestones","Speed Up, Jump",Verbal,Data,Informative,Interactive panning
C23,Sea Level Rise By The Numbers,"A long pictogram of Olympic-size swimming pools,  representing the 76.6 trillion gallons of metlwater due to climate change",C23,https://www.reuters.com/graphics/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/,2D screens,Area,Time,Stationary,Moving,Partial-body,None,Speed Up,Verbal,Data,Informative,Interactive panning
C24,Number Of Deaths In The WW2 Per Country,A 3D animation where the camera moves through a series of 3D bars. ,C24,https://www.youtube.com/watch?v=7cgRwDkP6vk,2D screens,Volume,None,Stationary,Moving,None,None,"Speed Up, Jump",Visual,Physical,None,Animated panning
C25,Us Debt Of $20 Trillion Visualized In Stacks Of Physical Cash,A 3D animation where the camera moves through stacks of money representing US debt,C25,https://www.youtube.com/watch?v=XqUwr-Nkq9g,2D screens,"Length, Volume",Time,Stationary,Moving,None,None,Speed Up,Visual,"Physical, Data",None,Animated panning
C26,Ocean Depth Comparison,Video explaining how deep the ocean is by introducing several famous depth locations,C26,https://www.youtube.com/watch?v=Q5C7sqVe2Vg,2D screens,Length,Time,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",Informative,Animated panning
C27,Turkey'S Toxic Dust,Zoom-out animation of an area representing damaged buildings in Turkey after 2023 huge earthquake.,C27,https://www.reuters.com/graphics/TURKEY-QUAKE/TOXINS/znvnbmyrzvl/,2D screens,Area,None,Stationary,Moving,Partial-body,None,Speed Up,Visual,Physical,Informative,Interactive panning
C28,Space Elevator,Scrolling website presenting the layers of the atmopshere.,C28,https://neal.fun/space-elevator/,2D screens,Length,"Effort, Time",Stationary,Moving,Partial-body,"Milestones, Counter",Speed Up,None,None,"Informative, Filler",Interactive panning
C29,The Data Physicalization Of Wealth Shown To Scale,Physical cubes present the wealth of normal and richest Americans,C29,https://www.youtube.com/watch?v=SktIkgYcFH0,Physical media,"Length, Volume","Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,Informative,Walkable marks
C30,Climbingchart,A bar chart displayed vertically across several floors of a building through AR,C30,https://hal.science/hal-05224602/document,AR displays,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Walkable marks
C31,Walkingchart,A bar chart displayed horizontally over several meters of a parking lot through AR,C31,https://hal.science/hal-05224602/document,AR displays,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Walkable marks
C32,Augmented Reality Waste Data Representations,A augmented-reality pile of trash bags.,C32,https://www.youtube.com/watch?v=c9EQ726EoUg,AR displays,Volume,Time,Stationary,Moving,None,None,None,None,None,None,Mark build-up
C33,Global Plastic Waste 1950-2019 - Data Visualization,Plastic bottles accumulation between 1950 and 2019.,C33,https://www.youtube.com/watch?app=desktop&v=_IcJlX-lOzM,2D screens,Volume,Time,Stationary,Moving,None,Counter,Speed Up,None,None,None,Mark build-up
C34,The Search For Answers,Scrolling visualization of plane wreckage at the bottomo of oceans ,C34,https://www.reuters.com/graphics/INDONESIA-CRASH/SEARCH/xegvbeywzpq/,2D screens,Length,"Effort, Time",Stationary,Moving,Partial-body,Milestones,Speed Up,Verbal,Data,Informative,Interactive panning
C35,Sizing Up Australia?S Bushfires,Scrolling through squares representing burnt area after australian wildfire,C35,https://www.reuters.com/graphics/AUSTRALIA-BUSHFIRES-SCALE/0100B4VK2PN/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,Visual,Data,Informative,Interactive panning
C36,Skyfall - Tracking The Asteroids That Menace Earth,Scrolling through the Earth-Moon distance to understand how far past and future asteroids pass from the Earth,C36,https://www.reuters.com/graphics/SPACE-ASTEROIDS/zdpxdnrzrpx/,2D screens,Length,None,Stationary,Moving,Partial-body,Milestones,Speed Up,Verbal,Data,Informative,Interactive panning
C37,Proxemics Interaction,2D-screen visualization showing bar charts based on the distance between the screen and the viewer,C37,https://progressive-value-reading.github.io/#C37,2D screens,Length,"Effort, Time",Physical locomotion,Moving,Full-body,None,None,None,None,None,Others
C38,Take An Elevator,Viewers taking an elevator with a transparent window through which they can see a bar chart painted on the wall,C38,https://progressive-value-reading.github.io/#C38,Physical media,Length,Time,Physical locomotion,Still,None,None,None,None,None,None,"Vehicular motion, Animated panning"
C39,Peephole Interaction,Viewers using a phone as a peephole view through which the viewer can inspect the mark on a wall,C39,https://progressive-value-reading.github.io/#C39,2D screens,Length,"Effort, Time",Physical locomotion,Still,Full-body ,None,None,None,None,None,Interactive panning
C40,Data Driven VR Roller Coaster,"VR roller coaster trails consisting of concatenated stacks of 100-dollar bills, representing the wealth of the richest person in the world.",C40,https://progressive-value-reading.github.io/#C40,VR displays,Length,Time,Virtual locomotion,Still,None,None,None,None,None,None,"Vehicular motion, Animated panning"
C41,VR Spaceship Traveling Through The Solar System,VR trip accross the solar system to visualize distances between planets,C41,https://progressive-value-reading.github.io/#C41,VR displays,Length,Time,Virtual locomotion,Still,Partial-body,None,None,None,None,None,"Vehicular motion, Interactive panning"
C42,Comparing Wealth In Stacks Of 100-Dollar Bills In AR,AR stacks of 100-dollar bills onto a street to compare the wealth of normal and the richest people.,C42,https://progressive-value-reading.github.io/#C42,AR displays,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Walkable marks
C43,Tissue Paper Box,Physical visualization of a tissues accumulation to visualize waste,C43,https://progressive-value-reading.github.io/#C43,Physical media,Volume,"Effort, Time",Stationary,Moving,Partial-body,Compressed View,None,None,None,None,Interactive panning
C44,VR Spaceship Circling The Earth Surrounding By Money,"Viewers taking a virtual spaceship journey around
the Earth that is surrounded by stacks of 100-dollar bills representing the wealth of the richest person",C44,https://progressive-value-reading.github.io/#C44,VR displays,Length,Time,Virtual locomotion,Still,Partial-body,None,None,None,None,None,"Vehicular motion, Interactive panning"
C45,Biking Around The Planets In VR ,Viewers riding a stationary bike to circle around down-scaled planets in virtual reality to compare their sizes,C45,https://progressive-value-reading.github.io/#C45,VR displays,Length,"Effort, Time",Virtual locomotion,Still,Partial-body,None,None,None,None,None,"Vehicular motion, Interactive panning"
C46,Queuing With All People In The World In VR,"VR visualization of the world population all in a queue, moving forward each time an inhabitant quit the queue",C46,https://progressive-value-reading.github.io/#C46,VR displays,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Others
C47,Go Up Stairs And See The History,"Vertical timeline representing humankind history accross several floors, requiring to climb stairs",C47,https://progressive-value-reading.github.io/#C47,Physical media,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Walkable marks
C48,Escape From A Room Where Money Fall From The Sky,Cumulative view of money filling a VR room,C48,https://progressive-value-reading.github.io/#C48,VR displays,Area,"Effort, Time",Virtual locomotion,Moving,Full-body ,None,None,None,None,None,Mark build-up
C49,Data As Virtual Flow,Flow getting through a VR room,C49,https://progressive-value-reading.github.io/#C49,AR displays,Volume,"Effort, Time",Stationary,Moving,None,None,None,None,None,None,Mark build-up
C50,Convey Belt,Marks painted on a convey belt or physical marks carried by a convey belt,C50,https://progressive-value-reading.github.io/#C50,Physical media,Length,Time,Stationary,Moving,None,None,None,None,None,None,"Vehicular motion, Animated panning"
C51,Marks On Streetcars,"Marks painted on streetcars (e.g., trams) move in and out the field of viewers",C51,https://progressive-value-reading.github.io/#C51,Physical media,Length,"Effort, Time",Stationary,Moving,None,None,None,None,None,None,"Vehicular motion, Animated panning"
C52,Dragon Dance,Bar charts painted on traditionnal Chinese dragon-dancers,C52,https://progressive-value-reading.github.io/#C52,Physical media,Length,Time,Stationary,Moving,None,None,None,None,None,None,Animated panning
C53,Visualization Shown On The Screen Of A Treadmill,Horizontal bar charts displayed on a 2D-screen moving forward by running on a treadmill,C53,https://progressive-value-reading.github.io/#C53,2D screens,Length,"Effort, Time",Stationary,Moving,Full-body ,None,None,None,None,None,Interactive panning
C54,Moving Up An Elevator Through Fixed Pulleys In VR,Vertical bar charts displayed outside a VR elevator going up by pulling up fixed pulleys,C54,https://progressive-value-reading.github.io/#C54,VR displays,Length,"Effort, Time",Virtual locomotion,Still,Partial-body,None,None,None,None,None,"Vehicular motion, Interactive panning"
C55,Diving In VR,An VR experience where viewers mimicing diving with a descend line to see how deep is sea,C55,https://progressive-value-reading.github.io/#C55,VR displays,Length,"Effort, Time",Virtual locomotion,Still,Partial-body,None,None,None,None,None,Interactive panning
